rank,player,team,seed,expected_games,mpg,ppg,rpg,apg,fantasy_avg,projected_total
1,Cameron Boozer,duke,1,4.056,33.0,22.5,10.2,4.2,36.9,149.67
2,Alex Condon,florida,1,4.056,30.6,15.0,7.7,3.5,26.2,106.27
3,Thomas Haugh,florida,1,4.056,33.5,17.1,6.2,2.0,25.3,102.62
4,Yaxel Lendeborg,michigan,1,4.056,30.1,14.4,7.0,3.3,24.7,100.18
5,Joshua Jefferson,iowa-state,2,3.269,31.8,16.9,7.6,4.9,29.4,96.11
6,Rueben Chinyelu,florida,1,4.056,24.8,11.2,11.5,0.7,23.4,94.91
7,Brayden Burries,arizona,1,4.056,29.5,15.9,4.7,2.5,23.1,93.69
8,Morez Johnson Jr.,michigan,1,4.056,25.1,13.3,7.3,1.2,21.8,88.42
9,Koa Peat,arizona,1,4.056,27.3,13.6,5.3,2.7,21.6,87.61
10,Braden Smith,purdue,2,3.269,34.2,14.0,3.6,9.0,26.6,86.96
11,Jaden Bradley,arizona,1,4.056,30.4,13.3,3.6,4.5,21.4,86.8
12,Aday Mara,michigan,1,4.056,23.0,11.6,6.9,2.3,20.8,84.36
13,Kingston Flemings,houston,2,3.269,31.7,16.4,3.9,5.3,25.6,83.69
14,Graham Ike,gonzaga,3,2.744,30.8,19.7,8.2,2.4,30.3,83.14
15,Trey Kaufman-Renn,purdue,2,3.269,27.9,13.4,8.7,2.7,24.8,81.07
16,Darius Acuff Jr.,arkansas,4,2.487,35.0,22.7,3.2,6.4,32.3,80.33
17,Tobe Awaka,arizona,1,4.056,21.4,9.4,9.5,0.8,19.7,79.9
18,Motiejus Krivas,arizona,1,4.056,25.0,10.5,8.1,1.0,19.6,79.5
19,Xaivian Lee,florida,1,4.056,27.5,11.5,3.8,4.2,19.5,79.09
20,Tarris Reed Jr.,connecticut,2,3.269,26.1,13.7,8.1,2.3,24.1,78.78
21,Isaiah Evans,duke,1,4.056,27.9,14.9,3.1,1.4,19.4,78.69
22,Patrick Ngongba,duke,1,4.056,22.4,10.7,6.0,1.9,18.6,75.44
23,Jeremy Fears Jr.,michigan-state,3,2.744,32.2,15.7,2.4,9.2,27.3,74.91
24,Keaton Wagler,illinois,3,2.744,33.7,17.9,4.8,4.4,27.1,74.36
25,Elliot Cadeau,michigan,1,4.056,26.0,10.2,2.6,5.4,18.2,73.82
26,Labaron Philon,alabama,4,2.487,30.3,21.7,3.2,4.7,29.6,73.62
27,Tamin Lipsey,iowa-state,2,3.269,31.5,13.3,4.0,5.0,22.3,72.9
28,AJ Dybantsa,brigham-young,6,1.994,34.6,25.3,6.7,3.8,35.8,71.39
29,JT Toppin,texas-tech,5,2.056,34.8,21.8,10.8,2.1,34.7,71.34
30,Boogie Fland,florida,1,4.056,30.0,11.6,2.5,3.4,17.5,70.98
31,Silas Demary Jr.,connecticut,2,3.269,29.1,10.9,4.5,6.2,21.6,70.61
